제목,시간,언론사,본문
"뉴욕증시, 서방 제재 우려 속에 상승 출발",2022-03-24 23:21,연합뉴스,"(뉴욕=연합뉴스) 윤영숙 연합인포맥스 특파원 = 뉴욕증시는 서방의 대러시아 제재에 대한 경계와 유가 흐름 등을 주시하며 상승했다.24일(미 동부시간) 오전 10시 7분 현재 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 163.26포인트(0.48%) 오른 34,521.76을 나타냈다.스탠더드앤드푸어스(S&P)500지수는 전장보다 24.92포인트(0.56%) 상승한 4,481.16을, 기술주 중심의 나스닥 지수는 전장보다 64.83포인트(0.47%) 뛴 13,987.43을 기록했다.투자자들은 러시아와 우크라이나의 전쟁 상황, 국제유가 움직임, 연방준비제도(연준·Fed)의 공격적 긴축 가능성 등을 주시하고 있다.유가가 공급 부족과 지정학적 긴장에 배럴당 110달러를 넘는 수준을 유지하면서 인플레이션 우려는 더욱 커지고 있다.에너지 가격 상승으로 플라스틱과 비료 가격도 오름세를 보여 가파른 물가 상승세가 전방위적으로 확대되고 있다.서방 정상들의 회동을 앞두고 대러시아 추가 제재 가능성도 커지고 있다.이날 벨기에 브뤼셀에서는 북대서양조약기구(NATO·나토) 동맹과 주요 7개국(G7) 정상, 유럽연합(EU) 지도자들이 만난다.영국은 이날 러시아의 은행, 핵심 산업과 개인 등을 겨냥하는 추가 제재를 발표했다.미국도 추가 제재를 검토하고 있는 것으로 알려졌다.연준의 긴축 우려도 지속되고 있다.연준 당국자들이 50bp 금리 인상 가능성을 열어두면서 당분간 연준이 공격적으로 금리를 인상할 가능성이 커졌다.이날도 크리스토퍼 월러 연준 이사와 찰스 에번스 시카고 연은 총재 등 연준 위원들의 발언도 나올 예정이다.10년물 국채금리는 7bp(=0.07%포인트)가량 오른 2.36% 근방에서 움직이고 있다.국제유가는 소폭 하락세를 보이고 있으나 여전히 110달러를 웃도는 수준에서 거래되고 있다.미국의 고용 상황은 계속 개선되고 있는 것으로 보인다.이날 노동부가 발표한 주간 실업보험 청구자 수는 1969년 이후 최저 수준으로 줄었다.지난 19일로 끝난 한 주간 실업보험 청구자 수는 전주보다 2만8천 명 감소한 18만7천 명으로 집계됐다. 이는 월스트리트저널(WSJ)이 집계한 전문가 예상치인 21만 명보다 적은 것으로 1969년 9월 6일 주간에 기록한 18만2천 명이후 최저치다.내구재 수주는 부진했으나, 경상 적자는 이전보다 개선됐다.2월 미국 내구재(3년 이상 사용 가능한 제품) 수주는 전월 대비 60억 달러(2.2%) 감소한 2천715억 달러를 기록해 다섯 달 만에 둔화세로 돌아섰다.4분기 경상 적자는 전분기보다 20억 달러(0.9%) 줄어든 2천178억8천만 달러로 집계됐다. 이는 월스트리트저널(WSJ)이 집계한 시장 예상치인 2천200억 달러를 밑도는 것이다.S&P500 지수 내 임의소비재 관련주를 제외하고 나머지 10개 업종이 모두 상승했다.음원 스트리밍 플랫폼 스포티파이의 주가는 구글이 스포티파이 자체 결제 시스템을 허용할 것이라고 밝혔다는 소식에도 2% 이상 하락했다.우버의 주가는 뉴욕시 택시와 제휴해 뉴욕시 택시들도 우버 앱을 통해 고객 예약을 받을 수 있도록 하기로 했다는 소식에 2% 이상 올랐다.올리브가든의 모기업 다든 레스토랑의 주가는 예상치를 밑돈 실적 발표에도 1% 이상 올랐고, KB홈의 주가는 실적이 예상치를 밑돌아 2% 이상 하락했다.전기 트럭업체 니콜라의 주가는 회사의 상업용 전기 트럭 생산이 시작됐다고 확인하면서 10% 이상 올랐다.뉴욕증시 전문가들은 전쟁과 금리 인상 우려 등이 시장에 복합적으로 작용하고 있어 투자처를 찾기가 쉽지 않다고 말했다.BNP파리바의 대니얼 모리스 수석 시장 전략가는 월스트리트저널에 ""2월 중순까지는 금리 인상이 (걱정의) 전부였다. 그리고 이후에는 전쟁이 전부였다. 그리고 지금은 그 모든 것이 결합한 상태다""라고 말했다.그는 ""지금 환경에서의 어려움은 어디에 투자해야 하느냐이다""라며 ""현금을 들고 앉아 있을 수는 없다. 그것은 가장 덜 나쁜 선택지일 뿐이다""라고 지적했다.유럽증시는 혼조세를 보였다.독일 DAX지수는 0.43% 떨어졌고, 영국 FTSE100지수는 0.04% 올랐다. 범유럽 지수인 STOXX600지수는 0.24% 밀리고 있다.국제유가는 하락했다.5월물 서부텍사스산원유(WTI) 가격은 전장보다 1.6% 하락한 배럴당 113.03달러를, 5월물 브렌트유 가격은 전장 대비 1.51% 밀린 배럴당 119.79달러를 나타냈다.ysyoon@yna.co.kr"
"文정부가 확립했던 스튜어드십코드, 尹정부서 변화 있을까",2022-03-24 23:11,이데일리,"[국민연금 주주권행사 방향은]①주주권 행사 공감대 형성됐지만 부작용도 생겨의결권 행사·대표소송 논란 등 영향 주목새 정부 속도조절 나설까 주목전문가들 ""큰 흐름 거스르긴 어려울 것""[이데일리 조해영 김대연 기자] 문재인 정부에서 구체화됐던 국민연금의 수탁자책임 원칙, 일명 ‘스튜어드십 코드’가 윤석열 정부에서 변곡점을 맞이할 것인지를 두고 금융투자업계는 물론 재계 전반의 관심이 높다. 지난 2018년 국민연금이 본격적으로 스튜어드십 코드를 도입한 후 처음으로 정권이 바뀌는 탓에 정치적 영향력에서 얼마나 자유로울 수 있을지가 관건이다.윤석열 정부가 현 정부보다 친기업적인 정책을 펼 것이라는 점에는 이견이 없지만, 책임투자 강화가 세계적인 트렌드로 자리 잡은 만큼 급격한 변화는 어려울 것으로 보인다. 다만 최근 논란이 된 대표소송 개정 등에서 경제계가 기존보다 강하게 목소리를 낼 가능성은 크다는 설명이다.관련 공약은 없지만…“경영계 목소리 강해질 것”24일 금융투자업계 등에 따르면 윤석열 대통령 당선인은 대선 시절 공약으로 연금개혁 추진을 제외하면 국민연금의 기금 운용이나 의결권 행사와 관련한 공약은 별도로 제시하지 않았다. 전삼현 숭실대 교수는 “당선인이 스튜어드십 코드 관련 얘기를 안 했기 때문에 지금과 같은 수준일지 경영권을 좀 더 보장하는 쪽으로 갈지는 미지수”라고 말했다.다만 문재인 정부 들어 확립된 국민연금의 주주권 행사 제도나 지침 등을 두고 경영계에서 반발이 많았던 만큼 정권이 바뀌면서 경영계 의견이 조금 더 폭넓게 받아들여질 것이라는 예상은 가능하다. 전 교수는 “재계에서 정당성에 관한 의문을 끊임없이 제기하면 지금보다는 (경영계 쪽에) 유리해지지 않을까 한다”고 말했다.국민연금의 주주권 행사 기준이 되는 수탁자책임 원칙이 도입된 것은 지난 2018년 7월이다. 국민연금의 기금운용 원칙 가운데 하나인 지속가능성을 위해 투자 과정에서 ESG(환경·사회·지배구조) 등 비재무적 요소를 고려하고, 기관투자자로서 기업과의 대화·주주권 행사 등 투자기업을 상대로 주주활동에 나서는 것이다.이를 위한 구체적 매뉴얼에 해당하는 수탁자책임 활동 가이드라인이 지난 2019년 초 만들어졌고, 상근 전문위원을 포함해 기금운용본부 외부 전문가들이 참여하는 수탁자책임전문위원회(수탁위) 같은 전문위원회 체제가 지난 2020년 초 완성돼 지금까지 국민연금 주주권 행사의 핵심 중 하나로 작용하고 있다.이 과정에서 현재 국민연금 전문위원회 등이 국민연금법에 명시된 만큼 이를 완전히 뜯어고치는 것을 어려울 것으로 보인다. 한 금융투자업계 관계자 A씨는 “과거엔 책임투자나 주주권 행사가 진보 진영의 논리로 간주됐을지 모르지만 이제는 정권에 따라 바뀌기 어려운 수준으로 공감대가 형성됐다”고 말했다.“모든 이해관계자 이익 균형 있게 보장해야”다만 이미 만들어진 조직이나 규정이 아니라 진행 중인 사안에 대해선 얼마든지 영향이 있을 수 있다는 해석도 나온다. A씨는 “책임투자와 주주권 행사를 바라보는 시각이 달라지는 만큼 세부 각론이나 속도 조절 면에선 변화가 있을 수 있다고 본다”고 말했다.당면한 사안 중 하나는 지난해 말부터 매듭을 짓지 못한 투자기업 대상 대표소송 강화 논란이다. 대표소송 권한을 수탁위로 이관할 경우 국민연금이 대규모 소송전에 나설 수 있다는 점에서 재계가 강하게 반발한 가운데 기금위에서 결론을 내지 못해 위원 일부로 소위원회를 구성해 논의하기로 합의된 상태다.또 다른 업계 관계자는 “대표소송 개정을 담은 수탁자지침 개정안이 아직 이뤄지지 않은 만큼 재계가 강경하게 얘기를 한다면 영향이 있지 않을까 한다”고 말했다. 이와 관련해 국민연금 관계자는 “사용자 단체, 근로자 단체, 지역가입자 단체 위원이 다 참석하는 소위원회에서 충분한 토론을 통해 결정될 것”이라고 말했다.소위원회는 다음 달 초 본격적인 논의를 시작할 전망이다. 소위원회는 김용진 국민연금공단 이사장이 위원장을 맡으며, 경영계 위원으로는 류기정 한국경영자총협회 전무, 노동계 위원으로는 박기영 한국노총 사무처장, 지역가입자 위원으로는 참여연대 추천 이찬진 변호사와 소상공인연합회 추천 이한나 변호사가 들어간다.스튜어드십 코드에 대한 재계 반발이 강해진다면 반대로 주주권 행사의 실효성을 지적하는 목소리가 높아질 것으로 보인다. 스튜어드십 코드 도입 이후 국민연금이 반대표를 던진 경우에도 안건이 주주총회를 무사히 통과하는 경우가 많아 일각에서 ‘종이 호랑이’라는 비판을 하기도 했다. 최근 삼성전자(005930) 등의 주주총회에서도 국민연금이 반대 의결권을 행사한 안건이 무난히 통과했다.류영재 서스틴베스트 대표는 “이번 정부가 강경한 태도로 나오면서 기업 입장에선 우려가 될 수밖에 없었다”며 “다만 새로운 정부에서도 기업 우호적인 태도가 오너 일가를 무조건 감싸주는 식이 되지 않도록 모든 이해관계자의 이익을 균형 있게 보장하려는 노력이 필요하다”고 말했다."
미국인 지갑 점점 닫히나…내구재 주문 감소세 주목 [뉴욕증시 나우],2022-03-24 23:03,한국경제TV,"여기는 미국 동부시간 24일 오전 9시 31분입니다. 오늘은 개장 전 나온 경제지표들을 먼저 살펴보죠. 주간 신규실업수당 청구는 예상보다도 좋은 18만 7천 건으로 집계됐습니다, 1969년 이후에 실업수당을 청구하는 사람들이 가장 적을 만큼 고용 상황이 나쁘지 않다는 신호로 보시면 되겠습니다. 변수가 될 만한 것은 2월 내구재 주문이 예상보다 많이 떨어졌다는 점입니다. 시장에서는 0.5% 감소를 예측했는데 실제로는 전달보다 2.2% 줄어들었죠. 내구재는 자동차, 냉장고처럼 큰 맘 먹고 사야하는 그런 제품들로 보시면 됩니다. 미국 사람들이 큰 돈 나가는 데 두려움을 갖고 지갑을 닫고 있다는 뜻으로 받아들여질 수 있습니다. 그만큼 유가 급등 등으로 미국 가계에 물가 부담이 높아진 것도 사실입니다. 서부텍사스산중질유 WTI는 현재 배럴당 114달러, 약보합권에서 움직이는 모습입니다.오늘은 뉴스에도 주목해볼 만한 날입니다. 우선 시장에 변동성을 만들어냈던 연준의 주요 인물들의 발언이 예정되어 있습니다. 최근 연준에서 계속 적극적인 금리 인상이 필요하다는 매파적인 발언들이 나오고 있는데, 그동안 점진적인 금리 인상이 적절할 수 있다고 이야기해온 라파엘 보스틱 애틀랜타 연은 총재를 비롯해 캔자스시티 연은 총재 등 상대적으로 비둘기파적인 기조를 가져온 인물들이 어떤 발언을 할지도 시장이 주목하고 있습니다.바이든 미국 대통령의 유럽 순방과 관련해 유럽의 러시아 제재 강화라든지, 이런 이야기들이 나올 가능성에도 귀를 기울일 필요가 있겠고요. 오늘 뉴욕증시 3대 지수 선물은 그래도 상승흐름 보였는데, 개장 전부터 눈에 띄게 움직이는 종목들도 짚어볼까요. 현재 러시아 제재와 관련해서는 미국이 예고했던 대로 러시아 하원 의원 300명을 포함한 러시아 주요 인사 개인에 대한 제재와 함께 우크라이나에 대한 10억 달러 규모의 추가 지원이 발표될 계획입니다. NATO와 EU 정상회의 이후 서방의 추가 제재가 나올지도 살펴볼 부분입니다.종목 이야기로 돌아가자면 국내 투자자들이 관심갖는 나스닥에서는 전기 트럭 제조업체인 니콜라가 눈에 띄는 상승폭을 보였습니다. 올해 2분기부터 300대 이상의 세미 전기 트럭을 출하할 계획이라고 밝힌 영향입니다. 프리장에서 주가가 17% 넘게 뛰었죠. 개장을 앞두고 상승폭이 계속 커지는 점이 눈에 띕니다. 이 회사가 만들겠다는 전기 트럭들은 여러 논란이 있었는데요. 이번 주에 있었던 애널리스트 데이에서 JP모간의 애널리스트가 직접 타보고 공장 상태를 점검했는데 인상적이었다, 이런 호평을 내놓기도 했었습니다. 같은 전기차 관련주들도 개장 전 상승세를 보이는데요. 루시드그룹은 1%대 상승하면서 나스닥 100 거래 상위 10개 종목에 이름을 올렸고, 테슬라도 1%대 상승하며 주당 1천달러 선을 개장 전에 회복했습니다."
"KTB금융그룹, ‘다올금융그룹’으로 새출발…이병철 회장 연임",2022-03-24 22:40,조선비즈,"KTB금융그룹이 다올금융그룹으로 새출발한다. 이병철 회장은 연임이 최종 확정됐다.이병철 다올투자증권 회장. /다올투자증권 제공.24일 다올금융그룹의 모기업인 다올투자증권은 이날 정기주주총회를 열고 회사명을 기존의 ‘KTB’에서 ‘다올’로 변경하기로 했다고 밝혔다. 이병철 회장과 최석종 부회장의 재선임안도 의결했다.이날 주총에서는 이날 주총에서는 박찬수·이상무·기은선 사외이사의 신규 선임과 박찬수·기은선 사외이사의 감사위원 선임도 결정됐다. 또한 보통주 1주당 250원, 우선주 1주당 6612원을 배당하는 480억원 규모의 배당안 등이 통과됐다."
"한국테크놀로지, 대우조선해양건설 지분 99.42% 확보...양사 합병 가능성 ‘UP’",2022-03-24 22:00,아이뉴스24,"한국테크놀로지와 대우조선해양건설 최대주주 한국인베트스먼트 합병코스닥 상장사 한국테크놀로지가 대우조선해양건설 지분 99.42%를 확보하게 됐다.한국테크놀로지는 24일 공시를 통해 자사가 100% 지분을 보유 중인 한국인베스트먼트뱅크와의 합병을 전격 추진한다고 밝혔다.한국인베스트먼트뱅크는 중견건설사인 대우조선해양건설 지분 약 96%를 보유한 기업이다.한국테크놀로지가 한국인베스트먼트뱅크를 흡수합병하면, 대우조선해양건설 지분 99.42%를 소유하게 되며 소규모 합병을 할 수 있는 요건을 갖추게 된다.한국테크놀로지가 24일 대우조선해양건설 지분 99.42%를 확보하게 됐다고 밝혔다. [사진=한국테크놀로지, 대우조선해양건설]한국테크놀로지 관계자는 “주주 의견을 경영에 적극 반영한다는 주주 우선 정책의 일환으로 핵심 자회사와의 합병을 추진하게 됐다”며 “일부 상장사들이 핵심 사업의 물적 분할로 비난을 받는 상황에서 핵심 자회사와 합병을 결정한 것”일라고 말했다.이어 “한국테크놀로지 경영진에 투자자와 주주들이 박수를 보내오고 있다”라며 “주주 가치 제고를 위해 모든 과정을 투명하게 공개하고 더 많은 주주들의 의견을 경청할 예정”이라고 강조했다.한국 테크놀로지는 앞으로 기존 사업을 대폭 개편하고, 자회사 대우조선해양건설과 구조·사업·인사 분야의 실질 통합을 이루는 성장 모멘텀을 마련할 계획이다.또한 이번 소규모 합병이 대우조선해양건설과의 순차적 합병을 염두해 추진하고 있는 것이 아니냐는 관측이 나오고 있다.금융투자업계 관계자는 “한국테크놀로지와 대우조선해양건설의 합병에 관한 시장의 기대가 크다”며 “일시적 자본잠식에 따른 관리종목 편입을 감수하면서까지 작년 연결 재무제표에 양사의 대손을 쌓은 이유는 합병을 위한 사전 정지작업의 일환이라고 보는 시각이 대다수”라고 설명했다.그러면서 “대우조선해양건설이 연결 재무제표가 아닌 개별 재무제표로 주식 시장과 직접 연결되면 시장에 미치는 파급력이 클 수 있다”며 “키를 쥔 한국테크놀로지 주주들의 판단에 따라 사명 변경 가능성도 높아질 것”이라고 진단했다.회사 측은 “한국테크놀로지와 대우조선해양건설의 합병을 원하는 주주들의 청원이 이어지고 있어 이를 검토 중”이라며 “실제 추진된다면 이 또한 간이합병 형식을 취하게 되며 한국테크놀로지의 추가 주식 발행은 없는 방식으로 진행될 것”이라고 답했다."
"엔비디아, 개발자회의 2일간 급락…시장 대비 약세, 왜?[오미주]",2022-03-24 21:31,머니투데이,"[편집자주] '오미주'는 '오늘 주목되는 미국 주식'의 줄인 말입니다. 주가에 영향을 미칠 만한 이벤트가 있었거나 애널리스트들의 언급이 많았던 주식을 뉴욕 증시 개장 전에 소개합니다.[[오미주]]엔비디아가 올해 개발자 회의를 진행한 2일간 주가는 시장 대비 큰 폭으로 떨어져 배경에 관심이 쏠린다.엔비디아는 지난 22~23일(현지시간) 자사 개발자 회의인 'GPU(그래픽 프로세싱 유닛) 기술 콘퍼런스'(GTC)를 개최했다.이 기간 동안 엔비디아의 주가 움직임은 실망스러웠다. 22일엔 나스닥지수가 1.95% 급등한 가운데 0.79% 하락했고 23일엔 나스닥지수가 1.32% 떨어진 가운데 3.36% 급락했다.젠슨 황 엔비디아 CEO(최고경영자)는 GTC에서 ""데이터센터는 산과 같이 쌓인 데이터를 처리하고 정제해 지성을 산출해내는 AI(인공지능) 공장이 되고 있다""며 AI에 역점을 두겠다는 뜻을 분명히 했다.이와 관련, 황은 2년 전에 선보인 컴퓨팅 아키텍처 '엔비디아 암페어'를 대체할 '엔비디아 호퍼'(Hopper)를 새로 공개했다. 황은 호퍼 기반의 반도체들이 ""전세게 AI 인프라의 엔진이 될 것""이라고 강조했다.또 최초의 호퍼 기반 GPU로 트랜지스터 8000억개가 들어간 '엔비디아 H100'를 선보이며 ""세계에서 가장 발전된 칩""이라고 소개했다.아울러 엔비디아가 인수하려다 실패한 영국 반도체 설계회사 ARM의 설계를 기반으로 데이터센터용 CPU인 '그레이스 호퍼'를 개발하고 있다고 설명했다. 현재 데이터센터용 CPU 시장은 인텔과 AMD가 경쟁하고 있는데 여기에 참전하겠다는 것이다.이에 대해 JP모간의 애널리스트인 할랜 서는 엔비디아가 AI와 고성능 컴퓨팅, 게이밍, 자율주행차 등의 분야에서 ""경쟁업체들보다 한두 걸음 앞서 나가는 상태를 유지하고 있다""고 평가했다.하지만 GTC 내용을 반영해 기존에 제시한 목표주가 350달러를 상향 조정하진 않았다. 바클레이즈 캐피탈과 씨티그룹도 엔비디아에 대헤 '매수' 의견과 목표주가 350달러를 유지하고 조정하지 않았다.목표주가 350달러는 엔비디아의 23일 종가 256.34달러에 비해 36.54% 높은 수준이다.애널리스트들은 이미 엔비디아에 높은 목표주가를 제시해 놓은 상황에서 GTC에서 엔비디아의 목표주가를 더 올릴 만한 새로운 호재를 발견하지 못한 것으로 보인다.바클레이즈는 이와 관련, 엔비디아가 GTC에서 소개한 신제품들은 이미 예상됐던 것이라고 평가했다.그렇다고 새로운 호재가 없다는 것이 엔비디아가 23일 3% 이상 급락한 이유가 될까.이에 대해 투자 전문 매체 모틀리 풀은 투자자들은 더 많은 호재, 기대하지 않았던 '깜짝 선물'을 원했으나 얻지 못하자 실망한 것으로 판단된다고 밝혔다.엔비디아는 지난해 11월부터 올 1월까지 분기 실적도 예상치를 크게 웃도는 서프라이즈였으나 주가는 오히려 하락했다. 투자자들은 더 큰 서프라이즈를 원했기 때문으로 보인다.엔비디아는 올들어 23일까지 13.36% 떨어졌다. 지난 14일 213.30달러까지 내려가며 올들어 27.91%까지 낙폭을 키웠다가 지난 14일부터 21일까지 5거래일간 25.34% 급반등한 결과다.하지만 지난 22, 23일 이틀 연속 하락하며 지난 14일 종가부터 반등폭은 20.19%로 축소됐다.엔비디아는 올들어 종가 기준으로 1월27일(219.44달러), 3월7일(213.52달러), 3월14일(213.50달러) 등 3번 저점을 찍고 반등했다. 이를 감안할 때 210달러가 강한 지지선이 되는 것으로 판단된다.엔비이다는 올해 EPS(주당순이익) 전망치 기준으로 PER(주가수익비율)이 54.54배이다. PER을 EPS 증가율로 나눈 PEG(PER/EPS 증가율)는 3.24배이다. 이는 이익 증가률에 비해 PER이 3.24배 높다는 의미다.엔비디아의 선행 PER은 테슬라(127.76배)보다 낮지만 PEG는 테슬라(3.29배)와 비슷하다. PEG는 통상 1 남짓일 때 저평가됐다고 본다."
"[시그널] 스틱, 상장 후 첫 주총 앞두고 의결권 확보 총력",2022-03-24 21:27,서울경제,낮은 최대주주 지분율로 의사 정족수 확보 관건소액주주 대상 의결권 대리 행사 권유 나서주총서 보수 한도 30억에서 150억으로 증액 계획[서울경제]스틱인베스트먼트(026890)가 상장 이후 첫 정기 주주총회를 앞두고 의결권 확보에 힘을 쏟고 있다. 스틱은 우회 상장 과정에서 최대주주 지분율이 100%에서 20% 미만으로 떨어져 이번 주총에서 주요 안건이 부결될 가능성도 배제할 수 없기 때문이다.스틱은 오는 29일 열리 정기 주총을 성공적으로 진행하기 위해 소액주주들을 대상으로 의결권 대리 행사 권유에 나섰다. 위탁 업체까지 동원해 소액주주들의 주거지에 직접 찾아가 설득에 나서는 등 총력을 다하고 있다. 스틱의 이번 주총은 낮은 최대주주 지분율과 더불어 코로나19로 인해 주주들의 주총 참여율이 저조할 것으로 예상돼 정족수 확보 여부가 관건이다.실제로 현재 스틱의 최대주주인 도용환 회장과 특수관계인이 보유한 지분율이 18.7%에 불과하다. 해당 지분만으로는 주총 보통결의 안건조차 통과가 불가능하다. 주총 보통결의 안건의 경우 전체 발행주식 수의 25%가 참여해 과반의 찬성을 얻어야 한다.스틱은 주총 안건으로 △재무제표 승인 △이사의 보수 한도 승인을 상정했다. 재무제표 승인의 경우 지난해 이례적인 호실적을 기록해 무난히 주주들의 찬성을 얻을 수 있을 것으로 예상되지만 이사 보수 한도의 경우 기존 금액과 비교해 상향 폭이 커 일부 주주들의 반대표도 예상된다.스틱은 이사 보수 한도를 기존 30억 원에서 150억 원으로 늘릴 계획이다. 이사 보수 한도의 경우 등기이사에 올라 있는 임원에게 지급하는 보수만 포함된다. 현재 스틱의 등기이사는 도 회장을 비롯해 곽동걸·곽대환 공동대표 등 7명이다. 지난해 약 170억 원을 받아 스틱 내 최고 연봉을 기록한 채진호 부문 대표는 미등기 임원으로 이사 보수 한도에는 포함되지 않는다.스틱은 지난해 상장사 디피씨와의 합병을 통해 코스피에 입성했다. 기존 이사 보수 한도는 전자 기기 부품 생산 업체였던 디피씨의 수준에 맞게 설정돼 있던 탓에 스틱과 같은 투자회사의 임직원 보수 한도와는 괴리가 크다. 또 최근 들어 잇따른 대규모 투자금 회수로 임직원들의 성과금 규모가 크게 늘어나면서 적절한 보수 지급을 위해 한도 상향이 필수적인 상황이다.스틱 관계자는 “주총의 원활한 진행을 위한 수준의 의결권은 어느 정도 확보된 것으로 알고 있다”며 “투자회사의 성격상 디피씨 때와 비교해 등기이사들의 보수 규모가 클 수밖에 없어 한도 상향을 추진하고 있다”고 말했다.
"항아리·옷장에서 현금 다발…고액체납자 584명 ""끝까지 추적""",2022-03-24 21:00,MBN,"【 앵커멘트 】국세청이 세금을 내지 않고 재산을 숨긴 혐의가 있는 고액 상습체납자 584명을 추적 조사하고 있습니다.항아리나 옷장에 돈을 숨겼다가 적발된 체납자도 있습니다.보도에 장명훈 기자입니다.【 기자 】(현장음)- ""아빠! 국세청에서 왔어요.""국세청 직원들이 집 내부를 옷장에서 침대 밑까지 뒤집니다.그러던 중 베란다에 있는 한 항아리 속에서 신문지로 싸둔 100달러 뭉치가 발견됩니다.1억 원 가량의 세금을 내지 않은 상습체납자 집을 수색해 은닉한 재산을 찾아내는 모습입니다.세금 40억 원을 내지 않은 또 다른 체납자.압류를 피하기 위해 자녀 명의의 집 내부 옷장과 서랍에 8억 원 상당의 현금과 달러를 숨겼지만 결국 덜미가 잡혔습니다.지난해 국세청이 고액체납자의 은닉재산을 추적해 징수한 세금은 약 2조 5,564억 원.고액체납자의 재산은닉 방법도 점차 진화하면서 국세청은 올해부터 각 지방청에 체납추적관리팀을 신설하는 등 대응을 강화하고 있습니다.올해는 악의적 상습·고액체납자 584명을 선정해 추적조사를 시작했습니다.고액의 세금을 내지 않고 수입차를 리스해서 사용하는 형태로 재산을 은닉한 90명, 강제징수를 회피할 목적으로 재산을 편법 이전한 196명 등이 대상입니다.▶ 인터뷰(☎) : 이은규 / 국세청 조사2과장- ""체납자 및 배우자, 특수관계인 등의 소득, 지출내역과 생활 실태, 사회 행위 등에 대한 기획분석을 통해 선정하였습니다.""국세청은 은닉재산을 끝까지 추적하여 환수하겠다면서, 악의적으로 세금을 고의 체납하면 당사자는 물론 방조자까지 고발하겠다고 밝혔습니다.MBN뉴스 장명훈입니다.영상편집 : 김미현그래픽 : 송지수#MBN #체납자 #끝까지추적 #징수 #장명훈기자"
"BofA, 로지텍 49% 추가 상승 가능…""게임 확장 수혜""",2022-03-24 20:55,한국경제TV,"뱅크 오브 아메리카(BofA, Bank of America)가 컴퓨터 주변기기 제조업체 로지텍(Logitech) 주가를 긍정적으로 평가했다.24일(현지시간) CNBC에 따르면 BofA는 로지텍 현재 주가수준은 엄청난 구매 기회라고 밝혔다.BofA는 게임부문이 계속 확장하면서 소비자들이 더 많은 컴퓨터 주변기기 제품을 요구하며 로지텍이 혜택을 볼 것이라고 내다봤다.또한 로지텍은 강력한 시장 점유율을 확보하고 있다고 진단했다.BofA는 로지텍의 목표주가를 107달러로 제시했다. 이는 전 거래일 종가에서 49% 상승 여력을 나타낸다.한편 로지텍의 주가는 이날 장전 거래에서 3.7% 올랐다."
"모건스탠리, 알코아 비중확대→중립…목표가 100달러",2022-03-24 20:54,한국경제TV,모건스탠리가 알루미늄 생산업체 알코아(Alcoa)의 주가를 부정적으로 전망했다.24일(현지시간) CNBC에 따르면 모건스탠리는 알코아의 투자 등급을 비중확대(outperform)에서 중립(equal weight)으로 하향 조정했다.모건스탠리는 알코아가 최근 모든 계획을 성공적으로 실행했기 때문에 추가 이익을 얻기 어려울 것이라고 내다봤다. 또한 글로벌 알루미늄 부족의 영향을 받을 것으로 전망했다.모건스탠리는 알코아의 목표주가를 주당 100달러로 제시했다. 이는 전 거래일 종가에서 6% 상승 여력을 의미한다.
