제목,시간,언론사,본문
쌍용차 14일 상폐 여부 결정... 상장사 42곳 ‘증시 퇴출’ 기로,2022-04-03 21:35,조선일보,"거래소, 심의 거쳐 최종 결정쌍용차 “이의신청 하겠다”에디슨모터스의 쌍용차 인수가 무산된 28일 오후 경기도 평택시 쌍용자동차 평택공장 정문 모습./연합뉴스쌍용자동차 등 상장사 42곳이 상장폐지 위기에 놓였다.3일 한국거래소는 상장사들이 제출한 지난해 사업보고서를 검토한 결과, 코스피 4개사와 코스닥 38개사 등 총 42개 기업에서 상장폐지 사유가 발생했다고 밝혔다.유가증권시장에서는 쌍용자동차, 선도전기, 하이트론씨스템즈, 하이골드3호 등 4곳이 회계법인으로부터 감사의견 거절을 통보받았다. 회계법인이 해당 기업의 재무제표를 검토했지만 감사의견을 낼 수 없을 정도로 재무상태가 심각하다는 의미로, 이에 따라 거래소는 해당 기업들의 주식 거래를 정지한 상태다.2년 연속 감사의견 거절 통보를 받은 쌍용차는 오는 14일 개선기간 종료 후 상장공시위원회 심의를 거쳐 상장폐지 여부가 결정될 예정이다.쌍용차는 지난달 31일 입장문을 내고 “지난해 한국거래소로부터 상장폐지 관련한 개선기간을 부여받았지만, 개선 기간 내에 투자자 유치와 재무구조 개선 등을 통한 상장 폐지 사유를 해소하지 못했다”면서 “서울회생법원의 결정에 따라 투자자 유치·재무구조 개선 등 상장 폐지 해당 사유 해소를 위한 작업이 진행되고 있는 만큼 향후 개선 계획을 담은 이의신청서를 빠른 시일 내 제출하겠다”고 밝혔다.2020사업연도 감사의견 거절로 상장폐지가 예고된 상장사 중 폴루스바이오팜은 지난 2월 상장 폐지됐고, 세우글로벌과 흥아해운은 지난해 감사의견 비적정 사유를 해소해 심의를 거쳐 거래가 재개됐다.코스닥 시장에선 한프, 인트로메딕, 베스파, 지나인제약, 바른전자, 휴먼엔 등 38곳이 감사의견 거절 또는 감사의견 한정 등의 상장폐지 사유가 발생했다."
카드론 금리도 오를 판... '카드사 돈줄' 여전채 금리 8년 만에 3% 돌파,2022-04-03 21:31,한국일보,"기준금리 인상 맞물려 여전채 금리도 상승조정금리로 카드론 금리 급등세 막아왔지만 ""기준금리 추가 인상 땐 막을 여력 없어""게티이미지뱅크서민들의 '급전' 창구인 장기카드대출(카드론) 금리가 오를 가능성이 커지고 있다. 카드사의 주요 자금 조달 수단인 '여신전문금융회사채(여전채)' 금리가 약 8년 만에 연 3%를 넘어서며 가파른 상승세를 보이고 있기 때문이다.3일 금융투자협회에 따르면, 이달 1일 여전채(AA+ 3년물) 금리는 연 3.426%를 기록했다. 지난해 8월만 해도 1%대 였던 여전채 금리는 한국은행의 기준금리 인상 여파로 지난해 9월 2%를 넘어섰고, 지난달 22일 3.075%를 기록하며 2014년 6월 이후 7년 8개월 만에 3%를 돌파했다.여전채 금리 상승으로 향후 카드론 금리도 오를 전망이다. 카드사는 예·적금 등의 수신 기능이 없어 카드론 등 대출 사업에 필요한 자금의 70% 이상을 여전채를 통해 조달한다.이 같은 자금 조달 구조는 채권 금리가 오르는 금리 인상기에 조달 가격 상승을 불러오고, 이렇게 되면 조달 비용 원가에 마진을 붙여 빌려주는 카드론 금리도 뛰게 된다. 실제로 지난해 상반기 11~13%대를 유지했던 7개 카드사(신한·삼성·KB국민·현대·롯데·하나·우리)의 카드론 평균 금리는 기준금리 인상 직후인 지난해 9월 11.46~15.43%로 상승했다.그간 카드사는 한은의 추가 금리인상 때 고객 이탈을 막기 위해 조정금리(우대금리·특별금리 할인 등)를 적용해 카드론 평균 금리를 11~15%대로 막아왔다. 기준금리·여전채 금리 상승을 카드론 금리에 온전히 반영하지 않은 것이다. 이 과정에서 카드사가 적용한 카드론 조정금리는 지난해 말 평균 0.58%에서 지난달 1.31%로 두 배 이상 뛰었다.그러나 업계에서는 조정금리를 더 이상 높이기 어렵다는 의견이 지배적이다. 이 때문에 올해 한은이 2~3차례 기준금리를 더 올리면 향후 카드론 금리 인상은 불가피하다고 보고 있다.카드사 관계자는 “조정금리를 적용했다는 건 그간 카드사가 고객의 이자 비용을 대신 부담하고 있었다는 의미”라며 “조정금리를 더 높이기 힘든 상황에서 기준금리까지 상승하면 결국 카드론 금리는 따라 오를 수밖에 없다”고 설명했다."
변동금리 대출 비중 8년 만에 최고... '이자 후폭풍' 몰려온다,2022-04-03 20:31,한국일보,"수년간 당장 이자 부담 덜한 변동금리 선택금리 상승 본격화 땐 ""고정금리 유리""최근 서울 한 은행 외벽에 신용대출 금리 안내 현수막이 걸려있다. 뉴스1올해 국내외 기준금리의 추가 상승이 전망되는 가운데, 시중금리가 오르면 이자 부담이 커지는 변동금리 대출 비중이 8년 만에 가장 높은 상태로 나타났다. 향후 국내 가계의 대출 이자 상환 부담이 눈덩이처럼 불어날 수 있다는 우려도 커지고 있다.금리 상승기에도 변동금리 비중 80% 달해3일 한국은행에 따르면, 지난달 은행권 가계대출 중 변동금리 대출 비중(잔액 기준)은 76.5%로, 2014년 3월(78.6%) 이후 8년 만에 가장 높았다. 신규 취급액 기준으로도 지난 2월 변동금리 선택 비중은 전월보다 1.7%포인트 늘어난 78%에 달했다.변동금리 가계대출 비중은 코로나19 확산 직전인 2019년만 해도 50% 안팎을 유지했지만, 2020년 3월 이후 초저금리가 본격화되면서 신규 대출의 '대세'로 자리잡으며 지난해 11월 82.3%까지 치솟았다.이미 금리 상승기에 진입했음에도, 대출금리가 오르면 이자 부담도 늘어나는 변동금리 비중이 늘어나는 건 당장 이자 부담이 덜해서다. KB국민은행에 따르면 이날 기준 주택담보대출 금리의 경우 변동금리형(신규 코픽스 6개월)이 연 3.56~5.06%로, 혼합형(5년 고정금리·연 4.01~5.51%)보다 금리가 0.45%포인트 낮다.하지만 금리 인상기에 접어들면 차주의 이자 부담이 급격하게 늘어날 수 있다. 변동금리 대출의 경우 대출 이자가 시장 금리에 맞춰 오르기 때문이다. 한은에 따르면 시중은행의 지난 2월 신규 가계대출 평균 금리는 3.93%로 2014년 7월(3.93%) 이후 7년 반 만에 가장 높았다. 특히 지난달 신규 주담대 금리는 코픽스(COFIX·자금조달비용지수)와 은행채 등 지표금리 상승에 9년 만에 최고치인 3.88%를 찍었다.그래픽=김대훈 기자주요국 금리 줄인상 예고... ""장기 고정금리 고려해야""사실상 올해부터 본격적인 금리 상승기에 접어들 것으로 예상되는 만큼, 대출자들도 이자 비용에 대한 대응 여력을 확인해야 한다는 목소리가 커지고 있다.미국 중앙은행인 연방준비제도(Fed)는 한 번에 기준금리를 0.5%포인트 인상하는 '빅스텝'을 포함해 올해 공격적인 금리 인상을 예고했고, 한은 역시 올해 추가로 2차례 이상 금리를 끌어올릴 가능성이 점쳐진다. 은행권 관계자는 ""주요국 기준금리 인상 기조가 뚜렷해진 만큼, 신규 대출자일수록 고정금리 선택이 유리할 수 있다""고 말했다.전문가들 사이에선 정책금융 지원으로 고정금리 비중을 높여야 한다는 지적도 나온다. 손상호 한국금융연구원 명예연구위원은 최근 보고서에서 ""원리금 분할 방식에 고정금리가 적용되면 금리 상승 시기에도 후유증을 줄일 수 있다""며 ""'장기 고정금리 분할상환' 방식 등을 위한 주택금융공사의 정책적 뒷받침을 고려할 수 있다""고 조언했다."
이번주 유류세 30% 인하…화물차 유가 보조금 추가 지급할까,2022-04-03 20:22,MBN,"【 앵커멘트 】치솟는 기름값에 정부가 유류세 추가 인하 여부를 모레 결정합니다.유류세를 인하하면 경유보다 휘발유 값이 더 많이 떨어지는데, 화물차 운전자의 불만을 감안해 유가 보조금을 확대하는 방안도 검토하고 있습니다.윤지원 기자입니다.【 기자 】서울의 한 주유소 가격표입니다.경유 가격은 리터당 1,869원, 휘발유 가격과 70원 밖에 차이가 나지 않습니다.휘발유에 비해 유류세 인하 효과가 크지 않은 탓입니다.13년여 만에 최고치로 치솟은 경유 가격에 화물차 운전자들은 직격탄을 맞고 있습니다.▶ 인터뷰 : 화물차 운전자- ""기름 값이 많이 올랐으니까 그 부담을 견적을 낸다고 하더라도 상대방 측에서 잘 반영이 안 돼요. 어려움이 많아요.""정부가 대책 마련에 나섰습니다.▶ 스탠딩 : 윤지원 / 기자- ""정부는 오는 5일 물가관계장관회의에서 유류세 인하폭 확대 여부를 포함한 물가 대책을 발표할 예정입니다.""정부는 유류세를 현행 20%에서 30%로 추가 인하할 방침이지만, 화물업계는 불만입니다.유류세를 10%p 더 인하하면 휘발유는 지금보다 리터당 82원 내리지만, 경유는 58원 하락에 그칩니다.또, 화물차에 지급되고 있는 유가 보조금도 유류세 인하와 함께 줄어드는 구조이기 때문입니다.유가 보조금은 유류세 인상액의 일부 혹은 전부를 보조하는 지원금으로, 유류세가 줄면 유가보조금 역시 줄게 됩니다.정부는 이에 따라 경유 화물자에 대한 유가 보조금을 추가 지급하는 방안 등을 검토 중입니다.MBN뉴스 윤지원입니다.영상취재 : 김영호 기자영상편집 : 최형찬#MBN #유류세인하 #MBN종합뉴스 #윤지원기자"
"코로나로 줄어든 국제선 항공편, 연말까지 50% 회복 추진",2022-04-03 20:14,MBN,"【 앵커멘트 】해외 입국자 자가격리 조치가 면제되면서 해외여행 수요가 늘고 있지만, 여전히 방역 문제로 국제선 운항률은 제자리 걸음입니다.정부가 연말까지 코로나 사태 이전의 절반 수준까지 국제선을 복원시키기로 했습니다.이병주 기자입니다.【 기자 】여행가방을 한가득 싣고 공항을 찾은 사람들, 출국장엔 모처럼 긴 줄이 생겼습니다.코로나19 사태 이후 2년 만에 인천국제공항 하루 이용객은 2만 명을 넘어섰습니다.정부는 입국자 격리 면제 조치 등으로 늘어나는 여행 수요를 고려해 국제선 항공편 운항 횟수를 대폭 확대하기로 했습니다.매달 100~300회 증편해 연말까지 주 2천360회까지 늘릴 계획입니다.코로나 사태 이전에 주당 4770편이 운항한 걸 감안하면 연말까지 50% 수준으로 복원되는 셈입니다.이미 국내에 취항하는 59개국 중 47개국은 코로나 이전 수준으로 항공편 운항을 정상화한 점이 고려됐습니다.▶ 인터뷰(☎) : 이윤철 / 한국항공대 경영학부 교수- ""다른 사회적 거리두기가 완화된 상태에서는 당연히 국제선 노선도 그 속도에 맞춰서…. 굉장히 많은 산업들이 연관돼 있습니다. ""방역당국이 결정하는 항공편 운항허가권을 다시 국토부로 이관하는 방안도 이번주 중앙재난안전대책본부 회의 안건에 올릴 방침입니다.▶ 인터뷰(☎) : 국토부 관계자- ""중대본에서 결정하면 하는 것인데, 실무협의가 어느 정도 됐으니까 (안건이) 올라간 것이죠.""정부는 PCR 검사 의무도 해제하는 방안까지 고려하고 있지만 방역당국은 하늘길 확대에 여전히 신중한 입장인 것으로 전해졌습니다.MBN뉴스 이병주입니다.영상편집 : 김미현"
"법원, 한국거래소 '이사장 자택 시위 금지' 가처분 신청 기각",2022-04-03 20:09,한국경제,"집회 금지할 근거 부족신라젠 소액주주들이 지난 2월8일 서울 여의도 한국거래소 앞에서 집회를 열고 신라젠 거래재개를 촉구하고 있다. /사진=뉴스1한국거래소가 신라젠 소액주주들의 손병두 이사장 집 앞 시위를 금지해달라며 법원에 가처분 신청을 냈지만 기각됐다.3일 법원에 따르면 서울중앙지법 민사합의51부(부장판사 전보성)는 거래소와 손병두 이사장이 신라젠 행동주의주주모임, 금융정의연대 등을 상대로 낸 집회 및 시위금지 가처분 신청을 지난달 29일 기각했다.거래소 등은 이들 단체들이 지난 2월10일부터 11일까지 손 이사장 주거지 부근에서 마이크와 마네킹을 이용한 피켓 시위를 진행하자, 해당 주거지 500m 이내의 장소에서의 시위를 금지해야 한다며 가처분 신청을 냈다. 신청서에는 위반행위를 할 때마다 1000만원씩을 지급해야 한다는 내용도 담겼다.이 같은 주장과 함께 거래소는 2월10일~11일까지 진행된 피켓 시위의 내용들과 그동안 거래소 부근에서 해당 단체들이 해왔던 집회 및 시위에 관한 자료를 제출했다.하지만 재판부는 거래소 측이 제출한 자료들이 집회 금지를 할 근거로는 부족하다고 판단했다. 거래소 일대에서 집회 및 시위를 수회 열었다고 해서 손 이사장 주거지 부근에서도 집회를 계속할 거라고 볼 수는 없다고 봤다. 실제로 단체들은 2월10일~11일에만 손 이사장 주거지 앞에서 시위를 했다.거래소 측은 상장폐지 여부를 심의한 후 현재 신라젠에게 부여한 6개월의 개선기간이 끝나는 8월18일 이후부터 유사한 형태의 시위가 다시 시작될 것이라는 주장도 펼쳤다. 이에 재판부는 5개월 뒤의 상황을 이유로 미리 집회와 시위를 금지하는 건 부당하다고 했다.한편 신라젠은 문은상 전 대표 등 전·현직 경영진의 횡령·배임으로 주식 거래가 정지됐으며, 상장 폐지 위기에 놓였다가 지난 2월18일 거래소 코스닥시장위원회에서 개선 기간 6개월을 부여 받았다."
"""최대 연10.16% 수익"" 삼성증권 ELS 모집",2022-04-03 20:00,디지털타임스,"삼성증권(대표 장석훈)은 최대 세전 연 10.16%의 수익을 추구하는 온라인 전용 주가연계증권(ELS) 27884회를 오는 8일 오후 1시까지 모집한다고 3일 밝혔다.삼성증권 ELS 27884회는 홍콩(HSCEI), 일본(NIKKEI225), 미국(S&P500) 지수를 기초자산으로 하는 3년 만기의 상품이다. 만기까지 세 지수가 모두 최초 기준가의 50% 미만으로 하락한 적이 없으면 세전 연 10.16%의 수익을 지급한다.ELS 27884회는 스텝다운 구조로 3개월마다 조기상환 기회가 주어진다. 세 지수가 모두 설정시 기준가의 95%(3, 6개월), 90%(9, 12, 15, 18개월), 85%(21, 24, 27, 30개월), 80%(33개월), 75%(36개월) 이상이면 세전 연 10.16%를 지급하고 상환된다.또한 같은 기간 동안 모집하는 온라인 전용 ELS 27885회는 유럽(EUROSTOXX50), 홍콩(HSCEI), 일본(NIKKEI225) 지수를 기초자산으로 하는 스텝다운 구조의 3년 만기의 상품으로, 6개월마다 조기 상환 기회가 주어진다. 세 기초자산 모두 만기까지 최초 기준가의 45% 미만으로 하락한 적이 없으면 세전 연 8.24%를 지급하고 상환된다.한편, 전문투자자가 아닌 모든 개인 일반 투자자는 숙려제 대상 고객으로, 가입을 원할 경우 4일 오후 11시까지 청약한 후, 오는 7일에 최종 가입의사를 확정해야 가입이 완료된다.자세한 상품의 조기상환 등 조건과 삼성증권 온라인 전용 ELS 가입은 삼성증권 홈페이지 또는 삼성증권 모바일 앱 '엠팝(mPOP)', 오투(O2)앱, POP HTS에서 가능하다."
"법원, 손병두 거래소 이사장 집앞 '신라젠 집회 금지' 가처분 기각",2022-04-03 19:31,머니투데이,"[서울=뉴시스] 김선웅 기자 = 신라젠 주주모임이 8일 오전 서울 여의도 한국거래소 앞에서 집회를 열고 신라젠 거래재개를 촉구하고 있다. 2022.02.08.한국거래소가 신라젠 소액주주들의 손병두 한국거래소 이사장 집 앞 시위를 금지해달라며 법원에 가처분 신청을 냈지만 기각됐다.3일 법원에 따르면 서울중앙지법 민사합의51부(부장판사 전보성)는 한국거래소와 손병두 이사장이 신라젠 행동주의주주모임, 금융정의연대 등을 상대로 낸 집회 및 시위금지 가처분 신청을 지난달 29일 기각했다.한국거래소 등은 이들 단체들이 지난 2월10일부터 11일까지 손 이사장 주거지 부근에서 마이크와 마네킹을 이용한 피켓 시위를 진행하자 해당 주거지 500m 이내의 장소에서 시위를 금지해야 한다며 가처분 신청을 냈다. 신청서에는 위반행위를 할 때마다 1000만원씩을 지급해야 한다는 내용도 담겼다.한국거래소는 이 기간 진행된 피켓 시위의 내용들과 그동안 한국거래소 부근에서 해당 단체들이 해 온 집회 및 시위에 관한 자료를 제출했다.하지만 재판부는 한국거래소 측이 제출한 자료들이 집회를 금지할 근거로는 부족하다고 판단했다. 한국거래소 일대에서 집회 및 시위를 수회 열었다고 해서 손 이사장 주거지 부근에서도 집회를 계속할 거라고 볼 수는 없다고 봤다.이들 단체는 2월10일부터 11일까지만 손 이사장 주거지 앞에서 시위를 했으나 한국거래소 측은 상장폐지 여부를 심의한 후 현재 신라젠에 부여한 6개월의 개선기간이 끝나는 오는 8월18일 이후부터 유사한 형태의 시위가 다시 시작될 것이라고 주장했다.재판부는 이에 대해서도 ""단체들이 행동에 나설 것이 우려되는 시점은 약 5개월가량 경과된 이후""라며 ""개선기간 종료 후에는 경영개선 계획서 제출, 기업심사위원회 개최 및 거래재개 혹은 상장폐지 등의 결정 등 여러 절차가 있다""고 말했다."
[표] 주요국 증시 주간 동향,2022-04-03 19:16,매일경제,
[표] 주간 주요 증시 지표,2022-04-03 19:16,매일경제,
