word,frequency,pos,sentiment,stopword,headword,attribute
했다,76725,Verb,,,,
것,48044,Noun,,,,
있다,40908,Adjective,,,,
등,38211,Noun,,,,
증권,32602,Noun,,,,
투자,31100,Noun,,,,
할,29184,Verb,,,,
거래,25830,Noun,,,,
하는,24750,Verb,,,,
시장,23390,Noun,,,,
수,22411,Noun,,,,
“,21688,Foreign,,,,
”,21565,Foreign,,,,
지난해,19987,Noun,,,,
기업,19599,Noun,,,,
주가,19167,Noun,,,,
하락,18857,Noun,,,,
고,18799,Noun,,,,
해,18394,Verb,,,,
대비,18269,Noun,,,,
LG,18188,Alpha,,,,
이,17816,Noun,,,,
),17505,Foreign,,,,
상장,16866,Noun,,,,
상승,15722,Noun,,,,
지수,15427,Noun,,,,
주식,14229,Noun,,,,
미국,14227,Noun,,,,
‘,14175,Foreign,,,,
사업,13961,Noun,,,,
올해,13886,Noun,,,,
를,13837,Noun,,,,
된,13461,Verb,,,,
주,13228,Noun,,,,
된다,13149,Verb,,,,
말,13072,Noun,,,,
매출,12572,Noun,,,,
서울,12531,Noun,,,,
코스피,12491,Noun,,,,
전,12227,Noun,,,,
한국,12055,Noun,,,,
증가,12010,Noun,,,,
날,11938,Noun,,,,
실적,11925,Noun,,,,
국내,11844,Noun,,,,
위,11801,Noun,,,,
전망,11775,Noun,,,,
영업,11749,Noun,,,,
투자자,11729,Noun,,,,
기자,11722,Noun,,,,
있는,11702,Adjective,,,,
및,11693,Noun,,,,
으로,11568,Foreign,,,,
솔루션,11362,Noun,,,,
금리,11272,Noun,,,,
에너지,11209,Noun,,,,
될,11159,Verb,,,,
기준,11002,Noun,,,,
기록,10979,Noun,,,,
이익,10764,Noun,,,,
규모,10745,Noun,,,,
의,10541,Noun,,,,
며,10438,Noun,,,,
로,10203,Noun,,,,
금융,10141,Noun,,,,
연구원,10113,Noun,,,,
에,9898,Foreign,,,,
예상,9769,Noun,,,,
증시,9750,Noun,,,,
한다,9687,Verb,,,,
을,9681,Foreign,,,,
이후,9678,Noun,,,,
통해,9664,Noun,,,,
자산,9656,Noun,,,,
대한,9634,Noun,,,,
밝혔다,9621,Verb,,,,
는,9589,Verb,,,,
지난,9386,Noun,,,,
됐다,9252,Verb,,,,
회사,9208,Noun,,,,
일,9096,Noun,,,,
청약,9067,Noun,,,,
기관,9056,Noun,,,,
중,8997,Noun,,,,
"),",8956,Foreign,,,,
성장,8952,Noun,,,,
포인트,8922,Noun,,,,
기술,8695,Noun,,,,
카카오,8620,Noun,,,,
기,8494,Foreign,,,,
최대,8302,Noun,,,,
거래소,8296,Noun,,,,
글로벌,8232,Noun,,,,
종목,8185,Noun,,,,
관련,8168,Noun,,,,
대표,8113,Noun,,,,
원,8090,Noun,,,,
인상,7947,Noun,,,,
액,7900,Noun,,,,
년,7890,Noun,,,,
마감,7831,Noun,,,,
매수,7768,Noun,,,,
따르면,7763,Verb,,,,
개발,7729,Noun,,,,
코스닥,7645,Noun,,,,
현재,7588,Noun,,,,
되고,7571,Verb,,,,
확대,7538,Noun,,,,
금융투자,7490,Noun,,,,
장,7317,Noun,,,,
가격,7307,Noun,,,,
이상,7301,Noun,,,,
가,7292,Verb,,,,
최근,7211,Noun,,,,
서비스,7121,Noun,,,,
사진,7024,Noun,,,,
달,7010,Noun,,,,
목표,6997,Noun,,,,
되는,6955,Verb,,,,
고객,6931,Noun,,,,
진행,6866,Noun,,,,
수준,6864,Noun,,,,
총,6831,Noun,,,,
개,6757,Noun,,,,
중국,6745,Noun,,,,
이번,6670,Noun,,,,
펀드,6634,Noun,,,,
오른,6599,Noun,,,,
자금,6546,Noun,,,,
라며,6537,Noun,,,,
개인,6503,Noun,,,,
공시,6447,Noun,,,,
위해,6440,Noun,,,,
설명,6431,Noun,,,,
약,6417,Noun,,,,
점,6408,Noun,,,,
더,6392,Noun,,,,
코로나,6369,Noun,,,,
평가,6354,Noun,,,,
가능성,6320,Noun,,,,
예정,6229,Noun,,,,
분석,6195,Noun,,,,
대,6185,Verb,,,,
공모,6159,Noun,,,,
결정,6145,Noun,,,,
SK,6124,Alpha,,,,
각각,6075,Noun,,,,
이어,6072,Verb,,,,
ETF,6064,Alpha,,,,
산업,6044,Noun,,,,
하며,5998,Verb,,,,
한,5944,Verb,,,,
개선,5894,Noun,,,,
계획,5888,Noun,,,,
때문,5846,Noun,,,,
했다고,5826,Verb,,,,
전자,5800,Noun,,,,
",",5793,Foreign,,,,
제공,5740,Noun,,,,
같은,5713,Adjective,,,,
주주,5713,Noun,,,,
삼성,5703,Noun,,,,
보유,5703,Noun,,,,
선,5694,Noun,,,,
준,5686,Noun,,,,
외국인,5665,Noun,,,,
매도,5627,Noun,,,,
그,5608,Noun,,,,
대해,5568,Noun,,,,
기간,5562,Noun,,,,
달러,5513,Noun,,,,
바이오,5481,Noun,,,,
따라,5445,Verb,,,,
경우,5394,Noun,,,,
영향,5389,Noun,,,,
후,5382,Noun,,,,
대상,5355,Noun,,,,
공급,5346,Noun,,,,
지속,5331,Noun,,,,
오전,5303,Noun,,,,
업계,5274,Noun,,,,
가장,5214,Noun,,,,
게임,5163,Noun,,,,
세,5121,Noun,,,,
△,5121,Foreign,,,,
우려,5068,Noun,,,,
업체,4991,Noun,,,,
시간,4956,Noun,,,,
상황,4938,Noun,,,,
플랫폼,4906,Noun,,,,
계약,4905,Noun,,,,
운용,4890,Noun,,,,
스템,4882,Noun,,,,
시작,4826,Noun,,,,
은,4806,Noun,,,,
수요,4798,Noun,,,,
긴축,4691,Noun,,,,
생산,4670,Noun,,,,
수익,4669,Noun,,,,
따른,4668,Verb,,,,
임플란트,4662,Noun,,,,
그룹,4646,Noun,,,,
해외,4637,Noun,,,,
주요,4627,Noun,,,,
작년,4621,Noun,,,,
기존,4571,Noun,,,,
경제,4564,Noun,,,,
발표,4552,Noun,,,,
KB,4542,Alpha,,,,
폭,4539,Noun,,,,
높은,4534,Adjective,,,,
관리,4529,Noun,,,,
하면,4519,Verb,,,,
제,4480,Noun,,,,
내린,4448,Verb,,,,
뉴스,4427,Noun,,,,
신규,4415,Noun,,,,
와,4415,Verb,,,,
시가총액,4409,Noun,,,,
하면서,4405,Verb,,,,
반도체,4360,Noun,,,,
은행,4349,Noun,,,,
까지,4349,Foreign,,,,
메타,4296,Noun,,,,
판매,4252,Noun,,,,
전략,4239,Noun,,,,
상,4213,Noun,,,,
배,4189,Noun,,,,
부문,4189,Noun,,,,
큰,4181,Verb,,,,
가치,4180,Noun,,,,
가운데,4119,Noun,,,,
분,4107,Noun,,,,
전환,4098,Noun,,,,
사,4096,Noun,,,,
IPO,4080,Alpha,,,,
미래에셋,4066,Noun,,,,
전날,4055,Noun,,,,
관계자,4047,Noun,,,,
상품,4037,Noun,,,,
급락,4029,Noun,,,,
추가,4005,Noun,,,,
발생,3999,Noun,,,,
중이,3997,Noun,,,,
위원회,3989,Noun,,,,
수익률,3987,Noun,,,,
하나,3982,Noun,,,,
인수,3955,Noun,,,,
유지,3921,Noun,,,,
발행,3900,Noun,,,,
▲,3884,Foreign,,,,
이데일리,3881,Noun,,,,
증권사,3870,Noun,,,,
감소,3866,Noun,,,,
공개,3853,Noun,,,,
자산운용,3809,Noun,,,,
버스,3802,Noun,,,,
부터,3786,Foreign,,,,
개월,3779,Noun,,,,
하기,3775,Verb,,,,
돼,3775,Verb,,,,
회장,3770,Noun,,,,
최고,3748,Noun,,,,
때,3740,Noun,,,,
환율,3727,Noun,,,,
평균,3713,Noun,,,,
해당,3695,Noun,,,,
임,3686,Noun,,,,
제도,3674,Noun,,,,
오는,3658,Verb,,,,
강세,3647,Noun,,,,
뉴시스,3634,Noun,,,,
