title,label
"터키, 물가 상승 억제 의지 확인에도  ""투자 아직 일러""",1
새해 주식투자 전략  핵심 가설  지켜보고  충동베팅  피해야,1
내년 정책 수혜 기대받는  신재생에너지 ,2
몸값 2조  요기요  어디로 배달될까 군침 삼키는 기업들,2
"서학개미 사로잡은 美 ESG ETF, 올해도 고고할까",2
목표가 속속 100만원대  흥 오른 삼성바이오로직스,2
신생 PEF운용사  안타  떡볶이업체 SJ코레 사들여 1년만에 매각 80억 차익,2
삼성전자 신고가 랠리  9만전자  가능할까,2
"작년 매출 신기록 쓴 카카오 엔씨 ""올해 더 좋다""",2
"""올 주식시장 황소랠리 온다 반도체 2차전지 유망""",2
현대제철 수익성 개선 ,2
"4분기 부진한 한국가스공사,",0
"개미가 이끈 코스피, 역대 첫 GDP 넘어",2
지난해 주식 수익률 30  안팎 달러는  마이너스 ,2
오늘의 레이더M 뉴스  1월 2일 ,1
간편식 제조  오름  60억원에 매물로,1
"말레이 1위 정수기  코웨이, 수출로 위기 탈출",2
"코스피 기업 시총, GDP 넘어섰다",2
롯데케미칼 등 화학주식 실적 전망 줄줄이 상향,2
"포스코, 글로벌 철강재 가격 상승 수혜 기대",2
"신 구작 모두 글로벌 인기 K 드라마 ""韓제작사 재평가돼야""",2
8만  찍은 삼성전자 개인 한달간 3조 사들여,2
"동학개미 덕에 코스피 시가총액, GDP 넘어선 듯",2
"코스피 시총, 사상 최초 GDP 넘어서나 1980조 원 기록",2
"2020년 마지막 거래일, 뉴욕증시도 사상 최고치 마감",2
중국 전기차 4개월 연속 1위  훙광미니  중국 토종 브랜드에 쫓기는 테슬라,2
신기록 쏟아낸 개미 순매수 63兆 예탁금 65兆 빚투 19兆,2
2020년 재테크 성적표 1위는 주식 달러는  마이너스 ,1
 마켓인사이트 계속되는  코로나 변수  국내 신평사가 보는 신축년 전망은,1
반도체 장비기업 ASML홀딩 급등 지금 매수해도 괜찮을까,2
 그래픽  GDP대비 코스피 시가총액 비율,1
"은행권, 연초부터 비대면 신용대출 재개",1
"대성마이맥, 8년 연속 수능 만점자 배출",2
작년 743  뛴 테슬라 서학개미 관심 끈  핫 했던 美종목들,2
 2021 전망  IPO시장 더 뜨거워진다  대어급 줄대기 ,2
자회사 4000억원 투자유치 제이콘텐트리  눈에 띄네 ,2
달러 엔 103.240엔 15시09분 현재 ,1
달러 엔 103.240엔 11시09분 현재 ,1
 원자재시황 국제유가 소폭 상승 마감..WTI 연간 20  하락,1
 유럽증시 2020년 마지막 장서 하락 마감,1
"개미가 살린  코스피  산타랠리에 시총, GDP 훌쩍",2
"2020 뉴욕증시, 최고치 마감  천장 뚫었다",2
"코스피 시총, 사상 최초 GDP 넘어선 듯 삼전 150조원 증가",2
"2020년 뉴욕증시, 신고가로 마감 ""내년엔 모든 것이 좋을 것""",2
4월부터 불법 공매도 감시 처벌 강화,2
2021년 IPO 대박 이어진다...카뱅 크래프톤 등 출격 준비,2
재산세 일부 임차인이 부담 넷리스 리츠 사볼까,1
"동학개미 덕에 코스피 시가총액, 사상 최초 GDP 넘어선 듯",2
"국제유가, 마지막 날 상승 마감  금값도 25  급등",1
"美 7대 IT기업, 지난해 시총 3.7조 껑충 테슬라는 9배 상승",2
2020 뉴욕증시  역대 최고치  피날레   다우 S P도 신기록 썼다,2
" 동학개미 수장  존리 ""개미들 자만하지 마라""",0
" 주목 e해외주식 바이두, 성큼 다가온 스마트 전기차",1
"300  폭등한 비트코인, 올해도 랠리 이어갈까",2
" 그래픽  뉴욕증시, 사상 최고치로 2020년 마감",2
"미 7대 기술기업, 올해 시총 3천700조원 불렸다 테슬라는 9배",2
 뉴욕증시  2020년 사상 최고치 마감  다우 S P 천장 뚫었다,2
"동학개미 멘토의 새해 투자 코칭   ""흥분 말고 냉철할 때""",1
달러 엔 103.230엔 09시10분 현재 ,1
美 증시 사상 최고치 작성하며 2020년 마감 연중 최저점 비교 66  폭등,2
"코스피 시가총액, 사상 처음 GDP 넘어서나",2
"""연 743  기록적 상승"" 2020년 서학개미 최고 수익 안긴 종목",2
"2020 뉴욕증시, 최고치 마감  다우 S P  천장 뚫었다",2
"""새해 증시도 고고""   고객예탁금 65.6조 사상 최고",2
17개월 액면가 붕괴 굴욕 대우건설이 비상 飛上  하려면  주식포트라이트 ,0
바이든 시대 그린주식가 뜬다 친환경 신재생에너지 담아라 2021 유망주 ,2
"올해부터 증권거래세 인하되고, ISA로 주식투자 가능해진다",2
SK바이오팜發 활황 맞은 공모주 대어급 줄줄이 대기 2021 유망주 ,2
"2020년 막내린 美뉴욕증시, 역대 최고가  축포 ",2
주식부호  1조클럽  25명 김범수 카카오의장 순위 껑충,2
"IT 2차전지 경기민감주식  맑음    저금리 실적 타고 3,000 간다",2
올해 최고 수익률 기록한 곳은 선전 증시 두 번째는 ,2
올해부터 개미 공모주 배정물량 확대 증권거래세율 인하,2
"롤러코스터 탄 2020년 뉴욕증시 다우 S P, 역대최고 마감 종합 ",2
 새해증시 올해 증시 파워맨은 문재인 바이든,1
"""묻고 더블로"" 지옥과 천국의 2020년 美증시 아듀 ",1
새해 돈 있으면 부동산보다 주식 2배 이상 추천 많았다,1
 신축년 새해 재운   金  기운 올해도 여전...7월 기점으로 코로나 위기 갈무리될 듯,1
 신축년 띠별 운세 ,1
"""ESG는 내일의 돈 인터넷처럼 세상을 바꿀 것""",1
코로나 늪에서 빠져나오나 정유 호텔업 1분기 흑자 기대,2
" Reset Korea ⑤   관치 정치 에 질식하는 금융, 이대론 안된다",1
"""코스닥 1000시대 열린다""  연초 상승세 이어갈 듯",2
"올해는 ESG 정보공시 표준화 원년, 압박 더 거세진다",1
"뉴욕증시, 사상 최고치로 2020년 마감 나스닥 지난해 44  급등",2
30  폭락 뒤 더블 파란만장 2020년 美증시 끝 뉴욕마감 ,1
 정은지의 차이나路  미리보는 니오데이 전기차 첫 세단 공개,1
"뉴욕증시, 올해 마지막 거래일에 신고점 나스닥, 연간 44  급등 마감",2
"뉴욕증시, 2020년 사상 최고치 마감  나스닥 43  폭등",2
"뉴욕증시, 사상 최고치로 2020년 마감 나스닥은 연간 43.6  상승",2
" 2021 증시 진단  ""동학개미, 변동성 대비하고 빚투 경계심 키워야""",1
" 2021 증시 진단 弱달러에 外人  바이코리아  전망 ""제한적"" 반론도",1
" 2021 증시 진단  ""공매도 재개시 단기조정 불가피  바이오주식 타격""",0
 돈터뷰  슈퍼개미에게 묻는다  사야하는 주식 안되는 주식은 ,1
 2021 증시 진단  전문가 원픽은 三電  배터리 반도체 친환경  뜬다 ,2
" 2021 증시 진단  코스피 3000 ""2분기"" 우세 상고하저   상저하고",1
"뉴욕증시, 사상 최고치로 2020년 상승 피날레 다우 0.65  상승",2
" 새해증시 ""정책 못믿어 집값 못잡는다"" 절반이상",0
 속보  뉴욕증시 상승 마감 나스닥 한해 44  폭등,2
 새해증시 코로나 탈출은 4Q 언택트 빚은 남는다,1
 도약  한국증시 ① 단타 위주 개인 직접투자론 한계  공모펀드 되살려야,1
 마켓인 국내 빅3 PEF 14兆 시대 새해  쩐의 전쟁  3色 전략,1
끝없는 머니무브...증권사 CMA로 뭉칫돈 몰린다,1
조기상환 급증에도 재투자는 뚝 ELS투자자 변심 왜,1
"뒤바뀐 증권가 풍속도  WM 고객  뜨고,  IB 글로벌  지고",1
신축년 코스피 3000시대  젊은 소 가 주도한다,1
은성수 양종희 진옥동 등 소띠 금융권 수장들,1
"올해 가장 유망한 주식  1위 삼성전자, 2위 현대차 새해증시 ",2
 새해증시 자녀에게 물려줄 주식은 삼성전자 테슬라,2
" 새해증시 ""올 성장률 2  못 미쳐"" 환율 1001 1100원 안정세",1
 새해증시 소띠해 뿔 치켜든 황소 3000뚫는다 73 ,2
 새해증시  코스피 3000 코스닥1000  올해 상반기 돌파한다,1
 주가 3000시대 온다  가계빚 코로나 변수 ,1
"""주식은 마라톤"" 존리 대표가 말하는 멘탈관리법 부꾸미TALK ",1
 유럽증시  브렉시트 코로나19 우려 속 하락 마감,0
 기자수첩 코스피 3000 시대 전제 조건,1
"유럽증시, 코로나19 브렉시트로 얼룩진 2020년 하락 마감",0
HSBC,1
 알아서 해달라  60대에 라임펀드 손실 70  배상,0
"브라질 증시, 코로나 사태에도 연간 2.9  상승 5년 연속 상승",2
"美, 中 이어 EU와 무역전쟁  숙제 떠안은 바이든",0
"뉴욕증시, 2020년 갈무리 고용 호조 속 혼조 출발",1
 코스닥人 김종철 멕아이씨에스 대표  포스트 코로나 문제없다 ,1
뉴욕증시 장초반 하락세...상승 랠리 후 숨 고르기,0
"1월효과, 연말랠리 잇는다 증권가",1
"Tata Motors, 3분기 국내 판매량 150,958대, 24  증가",2
"버라이즌, 허스트 TV, 새해 정전 피해 합의   다양성",1
Mahindra 및 Mahindra Exec   향후 Ford와 협업할 수 있는 기회를 모색합니다.,1
"Bristol Myers, Lisocabtagene Maraleuels에 대한 바이오로직스 라이센스 신청이 미국 FDA의 검토 중에 있다고 말합니다.",2
"""LG디스플레이, 강세 유지 전망 실적 개선 기대감""",2
노브랜드버거 빠른 확장세 신세계푸드 목표주가 8만원,2
바이든 당선에 활짝 웃은 청정에너지 ETF 편입종목 살펴보니,2
"위버스,  2020 팬덤 트렌드  발표",1
물멍   불멍 을 아시나요 집콕 이색 힐링 화제,1
 슈퍼리치  재테크 스타PB가 조언하는 올해 주목할 테마,1
"""내년 LCD 패널 가격 상고하저""",1
"""현대제철, 시황호조로 수익성 개선..목표가 상승""",2
"한국 증시, 2020년 시총 증가율 G20 중 中 이어 2위",2
"나신평 ""코리아세븐, 기업 신용등급 A2로 하향""",0
작년 한국 증시 시가총액 증가율 45.6  G20국가 중 2위,2
"코로나 직격탄  롯데관광개발, 재무악화 불구 주가는 회복",2
지난해 동학개미가 선택한 톱10 주식   60 도 있었네 ,1
" 주간HOT종목 삼성SDI, 외국인 기관 순매수 상승 신고가 행진",2
기다리던 전기차 시대 현대모비스 도약 신호탄,2
2배 큰 상장리츠 2021년에도 줄상장 고성장 기대,2
" fn마켓워치 한화생명, 수원사옥도 매각",0
"SK바이오사이언스, HK이노엔 등 출격 대기   올해도 IPO 시장 열기 이어질까",1
서학개미  해외투자 211조 새해에도 직구 열풍 ,1
"원 달러 환율, 올해 변동폭 축소 전망",1
"KB증권 ""새해엔 온 오프라인 콘서트 전성시대.. 엔터주 주목""",1
2020년 돋보인 새내기  박셀바이오 는 어떤 기업 ,1
 이번주 증시인물 파월 트럼프 강성부 올해의 증시人,1
"""중국 OUT""  뉴욕증권거래소, 中 3대 통신사 퇴출 진행",0
 위클리M A  코로나19에 한풀이  새해 전야까지 M A 빅딜,1
"한국, G20 중 증시 시총 증가율 2위 중국이 1위",2
이유 없이 오른다 회사도 모른다는  유사 테마주  급증,1
" 주목 e스몰캡 드림텍, 내년 코로나 진단  의료기기 서 수익난다",2
한국 증시 작년 시총 증가율 G20중 중국 이어 2위,2
코로나 속 미국 부호들 재산 1천조원 불렸다 머스크 5배로,2
DB그룹 제조업의 보루 파운드리 특수 DB하이텍을 보는 법  주식포트라이트 ,1
책임소재 발원 난망   엘아이에스  1조 마스크 수출 번복 ,0
"금투업계 ""ESG, 2021년 글로벌 투자 주류로 자리잡는다""",1
"우정바이오, 자체 신약클러스터에 흡입독성평가 GLP센터 구축",2
 표 해외 한국 DR 주간등락률,1
 표 해외 한국 DR 12 31 .,1
 유안타證 주간추천주  매출 반등 예상  삼성전자 아모레퍼시픽 엔씨소프트,2
 하나금투 주간추천주  실적 개선  롯데케미칼 GS건설 엘비세미콘,2
 SK證 주간 추천주 업황 개선에 저평가까지 LGD LS JB금융지주,2
 주목 e스몰캡 살아나는 반도체 업황 기회 찾아온  아이원스 ,2
한국 증시 작년 시총 증가율 G20중 중국 이어 2위,2
"한국, 지난해 G20 국가 중  증시 상승률  1위",2
증권거래세율 내려간다  달라지는 증시제도 체크 포인트,2
새해 글로벌 증시도 달리는 말  서학개미 투자전략은,1
동학개미 주린이  열풍 유튜브에 푹 빠진 증권가,2
" 주간증시 리뷰  기록, 또 기록  세운 코스피 2021년, 가보지 않은 길 걸을까",2
비트코인 1년새 280  급등 새해 전망은,2
증시 시총 상위권 지각변동 BBIG 질주,1
작년 장외시장도 빛났다 최다 거래는 제약 바이오,2
"동학개미, 삼성전자 사랑 새해에는  10만전자 ",2
"최고치 찍은 코스피, 새해 3000선 직행하나",2
1000원대 내려간 원 달러 환율 새해 전망은,2
 주요경제지표  지난 1년간 변동 폭,1
"서학개미 몰려간 테슬라 주가 8배, 애플 시총 1조달러 늘어",2
" 단독  예보, 금융공기업 최초로 직무 따라 급여 차등",1
 표 유럽 주요기업 주가 12 31 ,1
 표 미국 주요기업 주간 등락률,1
 표 미국 주요기업 주가 12 31 ,1
"뉴욕증시, 새해 맞아 휴장",1
"트럼프 행정명령에 중국 3대 통신사, 새해 뉴욕증시서 퇴출",0
"Tesla, 18,920대의 4분기 모델 S X 공급 보고",1
"Li Auto, 2020년 12월 6,126명, 전월대비 31.9  증가",2
 올댓차이나  자율운전 AI 중국 디핑셴 7600억원 자금 조달,2
中 당국의  마윈 지우기  제작 출연 TV쇼 돌연 하차,0
지난해 출생 27만 사망 30만 인구 감소 시작,0
"나재철 금투협회장 신년사 ""시장친화적 ESG인프라 마련""",1
 시그널  흥행 가도 달리는 中 CJ로킨 매각   현지 대기업 경쟁 불붙었다,2
" 경제전문가 현안설문  경제전문가 60명 이상 ""코스피 2800 3000""",1
황소가 된 개미  주가 3000시대  연다,2
年50조 몰고오는 개미들 동학개미 시즌2 예고,2
"메리츠證 ""지금은 대세상승 초입 2023년까지 구조적 상승장""",2
 표  주간 주요 증시 지표,1
 표  주요국 증시 주간 동향,1
수요 불확실성에 신용등급 강등된 정유업계,0
1천 고지 앞둔 코스닥 반도체 바이오가 견인,2
 부고 이종길 미래에셋자산운용 상무 모친상,0
" 미리보는 이데일리 신문  굴뚝기업 잡던 낡은 규제, IT까지 칼바람",0
"KTB PE, BYC 일가 소유 승명실업 150억에 인수",1
1000  2000  위기때 버팀목은  실적장세 ,1
 부고 이종길 미래에셋자산운용 상무 씨 모친상,0
비트코인 채굴업체주식 담는 투자자들,1
"KTB PE, BYC 일가 소유  승명실업  150억원에 인수",2
비트코인 무서운 상승세 3700만원 선 돌파,2
폴리실리콘 가격 오름세  기관 외인이 산 OCI,1
올해 증시  백신 V  바이든의 미국 A  금리 R  에 달렸다,1
"LG디스플레이 목표가 줄상향 ""실적 턴어라운드 기대""",2
" ESG  없는 기업, 투자유치 장기성장도 없다  친환경시장 활짝 ",1
"코로나 백신, 미중갈등 ...새해 세계경제 좌우할 이슈는 ",1
" 8만전자 된 삼성전자, 소액주주 200만 시대로 ",2
3000 기대 안고 새해증시 출발.. 美 조지아 상원투표 결과 주목  주간 증시 전망 ,2
 누적 수익률 46   은퇴 예상시기 따라 아홉가지 맞춤 운용  이런 펀드 어때요  ,1
지출 많은 50대 자영업자의 노후준비 방법은  재테크 Q A ,1
글로벌  폐기물 대란  속 웃었다 美 업계 1위 웨이스트매니지먼트,2
너무 비싼 美 불임치료 그 틈새 파고든 보험사 프로지니,1
"""소형 혁신기업 ETF 뜬다"" ARKK 등 투자 추천",1
"""차익 실현이냐"" vs ""비중 확대냐"" 새해 고민 깊어진 개미들",1
작년 개인 순매수 3위  ETF 곱버스  4일부터 문턱 높아진다,1
 ELS DLS 시장 갈수록 더 쪼그라든다 ,0
 부고 이종길 미래에셋자산운용 상무 모친상,0
 부고  이종길씨 미래에셋자산운용 상무  모친상,0
 부고  이종길 미래에셋자산운용 상무  씨 모친상,0
"마루 만드는 동화기업, 전기차 소재  숨은 진주 ",2
"""올해 K 뉴딜 적극 지원할 것""",2
" 처음 밟는 3000 시대 , 공매도 환율 동학개미에 달렸다",1
"""삼성전자 여전히 저평가"" 전문가 74 , 새해 톱픽 추천",2
커지는 ETF 시장 美中테크기업 ESG 상품에 쏠리는 눈,2
코스피 3000시대  스타PB 가 말하는 돈버는 투자전략,1
"이명호 예탁원 사장 ""올해  디지털 금융혁신 에 중점""",1
"나재철 금융투자협회장 ""자금공급 기능 강화 증권거래세 폐지 등 과세 체계 지원""",1
 신년특집 큰 손 전유물 넘어  디지털 PB  구현,1
급증하는 반도체 수출...삼성전자 SK하이닉스 주가 견인할까,2
계약해지 유증 납입연기 소송 연말 올빼미 공시 기승,1
코스피 시총의 25 는 삼성전자,1
" 서경스타즈IR 오스템임플란트, 中 임플란트  부동의 1위 ...올해도 탄탄대로",2
" 왕개미 연구소  주식 39억 던졌다가 다음날 35억 되산 큰손, 왜 ",1
공지 없이 구독경제  무료 유료  전환 못 한다,1
